,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
c8,0.12887698,0.0759864,0.001132971,0.00318119,0.23962162,0.060761653,0.0017065591,0.04024679,0.013611772,0.12400795,0.01067716,4.73096e-05,0.025990365,0.003928548,0.034299333,0.033658653,0.026972,0.07301432,0.00020471183,0.0006965768,0.09339971,0.0067405724,0.038771886,0.13575621,1.0684954,0.1654644,0.057359427,0.0002808353,0.07920273,0.02682607,0.010431866,0.06984954,4.165617e-08,0.0011449226,2.0997207,0.008898888,0.022541411,0.055101946,0.15854286,0.068302795,0.07184403,0.0030115151,0.08023329,0.008518232,0.08081122,0.3016369,0.056181617,0.011117911,0.2048787,0.03403918,0.06296509,0.4311681,0.0008036203,0.07768174,0.0015986413,0.15192072,0.0008373076,0.012449682,0.09885846,0.00021099219,0.02074613,0.9049899,0.023041584,0.004839228,0.004071383,0.08647625,0.21550098,0.067128606,1.3508611e-07,0.007880019,0.018294677,0.0142315645,0.16321625,0.0069759763,0.03327297,0.7900488,0.1404987,0.09958137,0.05424665,0.08032109,0.0061042663,0.06887912,0.002779652,0.019393472,0.09443032,0.0161923,0.026832117,0.051308393,0.01768803,0.025394911,0.010939763,0.10000922,0.017779432,0.011287527,0.06085843,0.01144841,0.011216797,0.07513053,0.00622257,0.059255436,0.00015443639,0.029741755,0.11882123,0.059269827,0.018673312,0.0020810522,0.010394843,0.10158183,0.004701744,0.013572658,0.023688925,0.032124985,0.097237945,0.0125624575,0.08842835,0.050421022,0.05106775,0.044568848,0.06362571,0.01944809,0.4238667,0.17777711,0.057266664,0.01488678,0.00052807253,0.010937185,0.008328592,0.014069234
c17,0.1144765,0.043147296,0.00022069002,0.0019332421,0.10431131,0.05625283,0.00014424317,0.017548736,0.022164878,0.12007054,0.0043754834,3.4517956e-07,0.008186597,0.00066490355,0.033254217,0.010383488,0.0050323666,0.07837746,1.2776427e-05,4.6277917e-05,0.04989901,0.00039962895,0.0089829555,0.060904235,2.7955663,0.20820986,0.014339801,9.058279e-06,0.020630598,0.010149885,0.001495476,0.015910028,1.3034186e-10,0.00028336843,3.8805034,0.00079301547,0.015865006,0.025409414,0.09902191,0.027623909,0.13853493,0.0006356257,0.013052065,0.0023073906,0.03182928,0.39802903,0.02027593,0.0038258098,0.22833672,0.007252394,0.031211674,1.1830481,6.767438e-05,0.07268817,0.0003436131,0.28112426,8.460961e-05,0.0041840016,0.017853707,4.474081e-06,0.03499829,1.8806372,0.011170237,0.0011444931,0.0007221205,0.015571338,0.23579346,0.023950242,1.3498568e-09,0.0018588228,0.0053303335,0.009038328,0.13944104,0.0011623253,0.01467332,0.5548722,0.06195128,0.05619338,0.015603055,0.032348108,0.0016399185,0.046618644,0.00050348,0.008612419,0.091677755,0.017335214,0.005048057,0.022155363,0.003328948,0.0063618887,0.0029226504,0.04269555,0.0012488093,0.0007170664,0.07877618,0.0028168627,0.0043084333,0.07557261,0.0011394086,0.07945837,6.2488593e-06,0.0124096405,0.032781534,0.04749631,0.007608107,0.00025831815,0.012723883,0.19619371,0.00061316835,0.0009019388,0.010631875,0.0028069532,0.10556765,0.0012192864,0.053486176,0.020819085,0.008970086,0.010902819,0.012897917,0.004017237,0.19066258,0.21058933,0.085554555,0.0016725793,5.2551124e-05,0.003085883,0.001092197,0.009480792
c4,0.044675507,0.044877134,0.00027192186,0.00052908796,0.21444583,0.037626598,0.00059330126,0.016174788,0.00515994,0.06644127,0.0039505796,4.560171e-06,0.0056697954,0.0017175897,0.018901523,0.02194198,0.012772331,0.05612423,4.1068946e-05,0.00018354417,0.0379336,0.002424588,0.03578796,0.05901355,0.4324895,0.08413305,0.03154523,8.318066e-05,0.044326782,0.017383737,0.004750472,0.029961755,1.6512345e-09,0.00029639518,0.8283745,0.0027793052,0.011007437,0.03526035,0.078601085,0.021357728,0.033032138,0.00072829647,0.03321509,0.0038573917,0.053786047,0.13082674,0.03151186,0.004115693,0.09868056,0.019665051,0.027009899,0.23225632,0.00013138285,0.040386897,0.00073029497,0.0826783,0.00022165089,0.0037253823,0.07602165,2.7140677e-05,0.010265225,0.2870476,0.013163374,0.0030172444,0.0010382228,0.051628765,0.311218,0.04739686,3.992752e-09,0.0019019706,0.007275216,0.005277076,0.064461745,0.0024498315,0.018245434,1.3721813,0.16603048,0.041378137,0.014453718,0.030768061,0.0023678718,0.033024635,0.0007141241,0.0075857397,0.03130401,0.007595779,0.013980843,0.02564014,0.008295304,0.010275407,0.0030875185,0.05698106,0.0036410997,0.0028324013,0.01914476,0.004940888,0.0036042826,0.0471987,0.0021519102,0.023559768,3.1878913e-05,0.018832618,0.04750279,0.024783317,0.0084199235,0.00054464897,0.0035657913,0.061674885,0.0022371204,0.004379218,0.008117439,0.009764483,0.0473966,0.005634894,0.040658057,0.024558743,0.025397034,0.024153868,0.03860594,0.008704121,0.49440858,0.07440918,0.037837163,0.005911749,0.00015345546,0.002679426,0.0050945594,0.0043706503
c15,0.038262956,0.041647423,0.00020542441,0.0004652528,0.2498424,0.038183194,0.00047719714,0.012358628,0.005400134,0.065135054,0.0031776961,2.9280127e-06,0.004765793,0.0013551246,0.017720759,0.016460342,0.010854786,0.058134064,3.1943946e-05,0.0001600727,0.031816155,0.0016313199,0.030190088,0.044451192,0.41749242,0.084245265,0.03142103,7.0839356e-05,0.028434303,0.017666375,0.00394762,0.024563972,8.1259366e-10,0.00027036745,0.723893,0.0018239242,0.0103731,0.033510774,0.060930472,0.017854651,0.03439653,0.0005778337,0.024994725,0.0031623808,0.040251434,0.10641791,0.028564468,0.005227124,0.09021463,0.014045811,0.030448185,0.20758969,0.00010922536,0.04283019,0.00063273386,0.07322619,0.00013813382,0.0031756787,0.04067358,1.4812731e-05,0.01092031,0.28856355,0.010495925,0.0032911713,0.0008430498,0.036881663,0.32617408,0.040107686,2.30412e-09,0.0015012948,0.005731773,0.004296617,0.057342842,0.001792696,0.018355884,1.6075951,0.13801095,0.032442506,0.015363729,0.025439506,0.002687538,0.037856705,0.00059513655,0.007427309,0.027072977,0.0091020325,0.013139439,0.021865878,0.0066621704,0.008467498,0.0023255097,0.054043498,0.0027986264,0.0019201565,0.017379202,0.004049699,0.0035999517,0.05177584,0.0017396392,0.027736604,2.847204e-05,0.015967775,0.04256325,0.022470264,0.0132049,0.00048696852,0.003652069,0.07041232,0.0015831781,0.003105568,0.0072602476,0.0056796363,0.050904322,0.0053553227,0.03522794,0.024660926,0.016271902,0.018230403,0.0295267,0.009923672,0.62469894,0.07326242,0.042593036,0.0050651478,9.2033835e-05,0.0019387462,0.0050776764,0.004019343
c16,0.050179116,0.043703947,0.00023428228,0.0007308114,0.19567652,0.04727183,0.0003821711,0.014093977,0.0087546855,0.07315254,0.003357931,1.9529516e-06,0.0055132424,0.0011720738,0.022461127,0.01456681,0.0088167135,0.063791096,2.771144e-05,0.00013357097,0.035992797,0.0012678897,0.022756563,0.04731529,0.8090893,0.098685995,0.026941145,4.9273174e-05,0.027819825,0.017246077,0.003357324,0.023297356,6.2534206e-10,0.00031835234,1.2870771,0.0015651543,0.011309797,0.033959363,0.07207245,0.021828596,0.055745143,0.00063962105,0.022892306,0.00295759,0.037765104,0.15101512,0.027535073,0.005639649,0.11300752,0.01185184,0.03146271,0.3664502,0.00011284043,0.048513185,0.00062570215,0.10311475,0.0001250209,0.0035340735,0.031448025,1.120115e-05,0.0156146,0.53758556,0.010918187,0.002827554,0.0009579053,0.030885555,0.3057601,0.035994373,2.6912421e-09,0.0017979508,0.0053042946,0.0056871437,0.07963868,0.0017194384,0.018175058,1.3328692,0.1113107,0.034970067,0.016743135,0.027414218,0.002521059,0.042570163,0.00063768454,0.007870866,0.038022958,0.011674524,0.010715707,0.021073697,0.0056207967,0.008258499,0.0025243056,0.052583497,0.0025928323,0.0015729569,0.026976539,0.0043338705,0.0045492505,0.058503628,0.0018163939,0.037014313,2.0817286e-05,0.017515555,0.042471368,0.029595302,0.014050554,0.00046847126,0.0050516287,0.10147927,0.0013875609,0.0023250477,0.008671737,0.0048189675,0.06027256,0.004039713,0.039400835,0.026810206,0.014432625,0.015833022,0.025588186,0.00868773,0.47991794,0.1029989,0.054158058,0.0039970772,7.95334e-05,0.0022283783,0.003663059,0.004783385
c13,0.04691255,0.05178042,0.00031625322,0.0006342474,0.27070117,0.03656707,0.0007482159,0.016840378,0.005637507,0.07608723,0.004309038,6.958085e-06,0.00665717,0.0018758741,0.019153478,0.022195436,0.015133401,0.0629925,5.431938e-05,0.0002521803,0.03937736,0.00257378,0.037565473,0.059073966,0.43919644,0.09167026,0.0389757,0.00012617117,0.03705382,0.021091966,0.004800358,0.031088078,2.7740774e-09,0.0004088813,0.81944454,0.0029496069,0.012272289,0.040486522,0.07097235,0.022750568,0.034016106,0.0008453401,0.033195082,0.0043207533,0.05040192,0.12943205,0.035265796,0.005649682,0.10149584,0.019708611,0.03391216,0.22187729,0.00018335962,0.04673628,0.000799685,0.08234702,0.0002498483,0.0044643967,0.059337273,3.353366e-05,0.011394935,0.2937685,0.0132201025,0.003906757,0.00133116,0.046779227,0.3084216,0.047737136,6.539784e-09,0.0021410054,0.007700315,0.0054039075,0.06795538,0.0028261356,0.019959697,1.4299685,0.15861633,0.04314089,0.019364959,0.03376522,0.0029700154,0.039830327,0.00092397776,0.009578096,0.031656068,0.008857904,0.01716138,0.028799167,0.009471505,0.011215973,0.0033853722,0.06266822,0.0048998953,0.0033609872,0.022403032,0.005794231,0.0043019275,0.050084922,0.0024355955,0.030622125,4.9573173e-05,0.01889391,0.048818976,0.024858048,0.014498154,0.0007309675,0.003996927,0.06899633,0.0022218837,0.0049442146,0.008964561,0.009488053,0.057690717,0.006913796,0.043447524,0.028824016,0.025273632,0.024085298,0.037534494,0.012103725,0.61218673,0.08620829,0.039887283,0.00757877,0.00015795953,0.0029691698,0.0073481295,0.005258291
c12,0.105229884,0.05681991,0.00076529855,0.0020809667,0.21413997,0.043013953,0.0012333167,0.03429387,0.009697423,0.12346391,0.009105382,2.7060842e-05,0.020969529,0.0031497385,0.030218361,0.030025018,0.023814524,0.076951854,0.00012903131,0.00048446498,0.07724581,0.005052945,0.042469967,0.1241335,1.08498,0.17416441,0.04713945,0.00019822086,0.07936676,0.023110028,0.008533408,0.052428935,1.907242e-08,0.00077179354,2.1005626,0.0064845365,0.02010379,0.04717002,0.14692047,0.04150226,0.059275743,0.0023686264,0.06572344,0.0066809948,0.081138596,0.29998586,0.046456125,0.0074187224,0.1939844,0.03204639,0.056643445,0.43439388,0.0005342911,0.06953354,0.0011424393,0.14503597,0.0006687137,0.010232377,0.09667138,0.00013727607,0.015184881,0.75441766,0.018072125,0.0037060932,0.0035340718,0.07211715,0.22009586,0.0616739,5.7479426e-08,0.005478838,0.014465835,0.011060441,0.1317183,0.0059349113,0.026654445,0.74861777,0.15095073,0.1004288,0.03294002,0.067463614,0.003847403,0.04230648,0.0018891704,0.014842371,0.07034385,0.011743235,0.021917459,0.04944576,0.015713261,0.020068048,0.008457361,0.082900025,0.012488715,0.007776365,0.05464508,0.009563216,0.007958593,0.06849679,0.004299351,0.045968335,8.095015e-05,0.022562528,0.081990294,0.043336827,0.011561828,0.0014567957,0.008319731,0.09097805,0.0037581234,0.011230596,0.01894361,0.026413409,0.080677524,0.008139149,0.07917027,0.037186876,0.048072334,0.037346184,0.05177978,0.01489585,0.3502777,0.15353641,0.045930978,0.0134944655,0.00040444857,0.008129272,0.0060050203,0.01112107
c10,0.12551016,0.080795854,0.0011884259,0.0030078595,0.24919127,0.06093233,0.0019208353,0.04281408,0.0141738085,0.13086025,0.010376068,5.2115633e-05,0.02353472,0.0041948007,0.03773149,0.03762371,0.02914472,0.07487344,0.00022465545,0.0007777599,0.089598134,0.006525186,0.042637963,0.12226695,0.9931031,0.14594163,0.053868294,0.00031433813,0.075364895,0.032680117,0.009780134,0.061470564,5.1528744e-08,0.001193647,1.8691033,0.0085084615,0.023653777,0.058442898,0.15412576,0.058131263,0.07204404,0.0030520416,0.07407529,0.008587522,0.079474516,0.2972922,0.057185736,0.010743945,0.19791771,0.039770097,0.060112327,0.45852482,0.0008345091,0.0862985,0.0019198895,0.17501555,0.0010415363,0.010828122,0.10129524,0.00023858814,0.021586416,0.7817617,0.023781158,0.0054638493,0.004174622,0.08173275,0.20971355,0.07614659,1.3287111e-07,0.0084779095,0.018750744,0.013905785,0.1549551,0.007189012,0.03284099,0.83975536,0.18373773,0.10453066,0.050434556,0.07231766,0.005622553,0.062489446,0.0029786045,0.019726252,0.09136779,0.016302038,0.029498793,0.055779207,0.017304633,0.026018726,0.009973288,0.09239595,0.0152637195,0.010248564,0.061629836,0.011801582,0.011344923,0.07622376,0.00556669,0.06380175,0.00018123449,0.028351149,0.09406289,0.06077034,0.01989521,0.0019017414,0.011605767,0.10676132,0.0052977125,0.013831095,0.021581106,0.02989628,0.09470057,0.012357539,0.08345851,0.050504677,0.049492627,0.043771043,0.057968512,0.021153882,0.44926497,0.16888009,0.05979003,0.014576715,0.0005616273,0.011293223,0.009391606,0.01448014
c6,0.024053983,0.039490037,0.00013804337,0.00018142088,0.22747193,0.03260582,0.00035053125,0.009258571,0.0029270833,0.042763896,0.0019474648,1.6197753e-06,0.002557682,0.0011404707,0.013619872,0.016234687,0.008317835,0.04290031,2.0080275e-05,0.00010366537,0.020897059,0.0013723006,0.02918575,0.029476797,0.19385812,0.044845633,0.024691734,5.33377e-05,0.027231216,0.014131237,0.0035493823,0.020330798,3.136672e-10,0.00015503843,0.34396455,0.0016095804,0.0074455347,0.028857237,0.0481101,0.011742234,0.023407955,0.00031596082,0.022219388,0.0023835588,0.03480334,0.060642656,0.022633845,0.0034034466,0.058934957,0.011865714,0.019085502,0.14144374,5.0368468e-05,0.026079116,0.00054006116,0.048103888,9.060161e-05,0.0020520836,0.052847914,9.15589e-06,0.0075134826,0.14304113,0.0097118,0.002863624,0.0004827709,0.0370477,0.37161863,0.0364037,6.090737e-10,0.0008180211,0.0043712845,0.0026183461,0.03999956,0.001326375,0.014660392,2.0185337,0.17287494,0.024633855,0.008665658,0.017676648,0.0020597577,0.029642338,0.0003393432,0.0050508403,0.01771358,0.0060225516,0.01087516,0.017278902,0.0048922333,0.005602902,0.0015854728,0.048197865,0.0017418045,0.0015033277,0.0088658165,0.003189919,0.0022491987,0.040111393,0.0012446777,0.014823935,1.823802e-05,0.016890323,0.0332688,0.015814876,0.008732619,0.00030789376,0.0017750562,0.0525579,0.0015004238,0.0024046963,0.0049427166,0.004900832,0.032246232,0.004282579,0.025385873,0.019675164,0.014384535,0.015797652,0.029137133,0.007332966,0.7379564,0.043944135,0.03197003,0.0036498883,7.278532e-05,0.0013161652,0.0049759895,0.0021632398
